[2026-07-27 12:02:45] 準備下載 6 章（3 版本 × 2 卷），間隔 1.00s，gb=0
[2026-07-27 12:02:52] 進度 6/6｜新增 6 跳過 0 失敗 0｜約剩 0 分
[2026-07-27 12:02:53] 完成：新增 6、跳過 0、失敗 0（共 6）
[2026-07-27 12:03:40] 準備下載 3567 章（3 版本 × 66 卷），間隔 1.50s，gb=0
[2026-07-27 12:04:25] 進度 25/3567｜新增 25 跳過 0 失敗 0｜約剩 89 分
[2026-07-27 12:05:11] 進度 50/3567｜新增 50 跳過 0 失敗 0｜約剩 88 分
[2026-07-27 12:05:52] 進度 75/3567｜新增 75 跳過 0 失敗 0｜約剩 87 分
[2026-07-27 12:06:32] 進度 100/3567｜新增 100 跳過 0 失敗 0｜約剩 87 分
[2026-07-27 12:07:12] 進度 125/3567｜新增 125 跳過 0 失敗 0｜約剩 86 分
[2026-07-27 12:07:52] 進度 150/3567｜新增 150 跳過 0 失敗 0｜約剩 85 分
[2026-07-27 12:08:32] 進度 175/3567｜新增 175 跳過 0 失敗 0｜約剩 85 分
[2026-07-27 12:09:12] 進度 200/3567｜新增 200 跳過 0 失敗 0｜約剩 84 分
[2026-07-27 12:09:52] 進度 225/3567｜新增 225 跳過 0 失敗 0｜約剩 84 分
[2026-07-27 12:10:32] 進度 250/3567｜新增 250 跳過 0 失敗 0｜約剩 83 分
[2026-07-27 12:11:12] 進度 275/3567｜新增 275 跳過 0 失敗 0｜約剩 82 分
[2026-07-27 12:11:52] 進度 300/3567｜新增 300 跳過 0 失敗 0｜約剩 82 分
[2026-07-27 12:12:32] 進度 325/3567｜新增 325 跳過 0 失敗 0｜約剩 81 分
[2026-07-27 12:13:12] 進度 350/3567｜新增 350 跳過 0 失敗 0｜約剩 80 分
[2026-07-27 12:13:52] 進度 375/3567｜新增 375 跳過 0 失敗 0｜約剩 80 分
[2026-07-27 12:14:32] 進度 400/3567｜新增 400 跳過 0 失敗 0｜約剩 79 分
[2026-07-27 12:15:12] 進度 425/3567｜新增 425 跳過 0 失敗 0｜約剩 79 分
[2026-07-27 12:15:52] 進度 450/3567｜新增 450 跳過 0 失敗 0｜約剩 78 分
[2026-07-27 12:16:32] 進度 475/3567｜新增 475 跳過 0 失敗 0｜約剩 77 分
[2026-07-27 12:17:11] 進度 500/3567｜新增 500 跳過 0 失敗 0｜約剩 77 分
[2026-07-27 12:17:51] 進度 525/3567｜新增 525 跳過 0 失敗 0｜約剩 76 分
[2026-07-27 12:18:31] 進度 550/3567｜新增 550 跳過 0 失敗 0｜約剩 75 分
[2026-07-27 12:19:11] 進度 575/3567｜新增 575 跳過 0 失敗 0｜約剩 75 分
[2026-07-27 12:19:51] 進度 600/3567｜新增 600 跳過 0 失敗 0｜約剩 74 分
[2026-07-27 12:20:31] 進度 625/3567｜新增 625 跳過 0 失敗 0｜約剩 74 分
[2026-07-27 12:21:10] 進度 650/3567｜新增 650 跳過 0 失敗 0｜約剩 73 分
[2026-07-27 12:21:51] 進度 675/3567｜新增 675 跳過 0 失敗 0｜約剩 72 分
[2026-07-27 12:22:30] 進度 700/3567｜新增 700 跳過 0 失敗 0｜約剩 72 分
[2026-07-27 12:23:10] 進度 725/3567｜新增 725 跳過 0 失敗 0｜約剩 71 分
[2026-07-27 12:23:50] 進度 750/3567｜新增 750 跳過 0 失敗 0｜約剩 70 分
[2026-07-27 12:24:30] 進度 775/3567｜新增 775 跳過 0 失敗 0｜約剩 70 分
[2026-07-27 12:25:10] 進度 800/3567｜新增 800 跳過 0 失敗 0｜約剩 69 分
[2026-07-27 12:25:49] 進度 825/3567｜新增 825 跳過 0 失敗 0｜約剩 69 分
[2026-07-27 12:26:29] 進度 850/3567｜新增 850 跳過 0 失敗 0｜約剩 68 分
[2026-07-27 12:27:09] 進度 875/3567｜新增 875 跳過 0 失敗 0｜約剩 67 分
[2026-07-27 12:27:49] 進度 901/3567｜新增 900 跳過 1 失敗 0｜約剩 67 分
[2026-07-27 12:28:28] 進度 926/3567｜新增 925 跳過 1 失敗 0｜約剩 66 分
[2026-07-27 12:29:08] 進度 951/3567｜新增 950 跳過 1 失敗 0｜約剩 65 分
[2026-07-27 12:29:48] 進度 976/3567｜新增 975 跳過 1 失敗 0｜約剩 65 分
[2026-07-27 12:30:29] 進度 1001/3567｜新增 1000 跳過 1 失敗 0｜約剩 64 分
[2026-07-27 12:31:08] 進度 1026/3567｜新增 1025 跳過 1 失敗 0｜約剩 64 分
[2026-07-27 12:31:48] 進度 1051/3567｜新增 1050 跳過 1 失敗 0｜約剩 63 分
[2026-07-27 12:32:28] 進度 1076/3567｜新增 1075 跳過 1 失敗 0｜約剩 62 分
[2026-07-27 12:33:08] 進度 1101/3567｜新增 1100 跳過 1 失敗 0｜約剩 62 分
[2026-07-27 12:33:48] 進度 1126/3567｜新增 1125 跳過 1 失敗 0｜約剩 61 分
[2026-07-27 12:34:28] 進度 1151/3567｜新增 1150 跳過 1 失敗 0｜約剩 60 分
[2026-07-27 12:35:09] 進度 1177/3567｜新增 1175 跳過 2 失敗 0｜約剩 60 分
[2026-07-27 12:35:53] 進度 1202/3567｜新增 1200 跳過 2 失敗 0｜約剩 59 分
[2026-07-27 12:36:39] 進度 1227/3567｜新增 1225 跳過 2 失敗 0｜約剩 58 分
[2026-07-27 12:37:25] 進度 1252/3567｜新增 1250 跳過 2 失敗 0｜約剩 58 分
[2026-07-27 12:38:10] 進度 1277/3567｜新增 1275 跳過 2 失敗 0｜約剩 57 分
[2026-07-27 12:38:56] 進度 1302/3567｜新增 1300 跳過 2 失敗 0｜約剩 57 分
[2026-07-27 12:39:42] 進度 1327/3567｜新增 1325 跳過 2 失敗 0｜約剩 56 分
[2026-07-27 12:40:28] 進度 1352/3567｜新增 1350 跳過 2 失敗 0｜約剩 55 分
[2026-07-27 12:41:14] 進度 1377/3567｜新增 1375 跳過 2 失敗 0｜約剩 55 分
[2026-07-27 12:42:00] 進度 1402/3567｜新增 1400 跳過 2 失敗 0｜約剩 54 分
[2026-07-27 12:42:46] 進度 1427/3567｜新增 1425 跳過 2 失敗 0｜約剩 54 分
[2026-07-27 12:43:32] 進度 1452/3567｜新增 1450 跳過 2 失敗 0｜約剩 53 分
[2026-07-27 12:44:18] 進度 1477/3567｜新增 1475 跳過 2 失敗 0｜約剩 52 分
[2026-07-27 12:45:04] 進度 1502/3567｜新增 1500 跳過 2 失敗 0｜約剩 52 分
[2026-07-27 12:45:50] 進度 1527/3567｜新增 1525 跳過 2 失敗 0｜約剩 51 分
[2026-07-27 12:46:36] 進度 1552/3567｜新增 1550 跳過 2 失敗 0｜約剩 50 分
[2026-07-27 12:47:22] 進度 1577/3567｜新增 1575 跳過 2 失敗 0｜約剩 50 分
[2026-07-27 12:48:08] 進度 1602/3567｜新增 1600 跳過 2 失敗 0｜約剩 49 分
[2026-07-27 12:48:54] 進度 1627/3567｜新增 1625 跳過 2 失敗 0｜約剩 48 分
[2026-07-27 12:49:39] 進度 1652/3567｜新增 1650 跳過 2 失敗 0｜約剩 48 分
[2026-07-27 12:50:25] 進度 1677/3567｜新增 1675 跳過 2 失敗 0｜約剩 47 分
[2026-07-27 12:51:05] 進度 1702/3567｜新增 1700 跳過 2 失敗 0｜約剩 47 分
[2026-07-27 12:51:45] 進度 1727/3567｜新增 1725 跳過 2 失敗 0｜約剩 46 分
[2026-07-27 12:52:24] 進度 1752/3567｜新增 1750 跳過 2 失敗 0｜約剩 45 分
[2026-07-27 12:53:04] 進度 1777/3567｜新增 1775 跳過 2 失敗 0｜約剩 45 分
[2026-07-27 12:53:44] 進度 1802/3567｜新增 1800 跳過 2 失敗 0｜約剩 44 分
[2026-07-27 12:54:24] 進度 1827/3567｜新增 1825 跳過 2 失敗 0｜約剩 44 分
[2026-07-27 12:55:04] 進度 1852/3567｜新增 1850 跳過 2 失敗 0｜約剩 43 分
[2026-07-27 12:55:47] 進度 1877/3567｜新增 1875 跳過 2 失敗 0｜約剩 42 分
[2026-07-27 12:56:33] 進度 1902/3567｜新增 1900 跳過 2 失敗 0｜約剩 42 分
[2026-07-27 12:57:19] 進度 1927/3567｜新增 1925 跳過 2 失敗 0｜約剩 41 分
[2026-07-27 12:58:04] 進度 1952/3567｜新增 1950 跳過 2 失敗 0｜約剩 40 分
