version,engs,chap,verses,bytes,sha1,fetched_at
unv,Obad,1,21,7850,cb0b6c5f62cd85a6a7840340d4a211631eb52a92,2026-07-27 12:02:45
unv,3 John,1,15,4723,72a44df364548b7216a1120e9f23c7e29a813b20,2026-07-27 12:02:47
kjv,Obad,1,21,8325,81927493ff2fc2f6160e5fee089eaa9600c19f50,2026-07-27 12:02:48
kjv,3 John,1,14,4969,962aec8ee141aa15bc8fccf22cba664aefaf3857,2026-07-27 12:02:50
web,Obad,1,21,4867,f36fedb5cbe8452f99bdd81c73df471e4aad9add,2026-07-27 12:02:51
web,3 John,1,15,2813,b07fb480b40ed63cca47cbf476b9a13da9d30706,2026-07-27 12:02:52
unv,Gen,1,31,10550,8f3de1c9e72078014925f73161d311cbf669d1d9,2026-07-27 12:03:40
unv,Gen,2,25,8179,f0faa246968f77b59b7540cf3bc9b5bedd02b6f8,2026-07-27 12:03:42
unv,Gen,3,24,8905,d90703e69788bce3d178ec25770935c5a718261e,2026-07-27 12:03:44
unv,Gen,4,26,8888,6a1abd4e1b4d282269d087cdebedc6bb88a77088,2026-07-27 12:03:46
unv,Gen,5,32,8504,00c33047666cfdb7fd69dda65a13c7ed95037eca,2026-07-27 12:03:48
unv,Gen,6,22,7407,313fca8cf8d1e6214069d6eca2e2a99265d637a4,2026-07-27 12:03:50
unv,Gen,7,24,7653,968649d3eae92741a10671587072102ea6cbb7fe,2026-07-27 12:03:52
unv,Gen,8,22,7394,17dc6c4e7fda0f1bdab91f7e549dfc7ba44dc22d,2026-07-27 12:03:53
unv,Gen,9,29,8776,aedca5cd9cffeebeade6c0656370655e3480da2d,2026-07-27 12:03:55
unv,Gen,10,32,7809,8c45a22df8526eafa6813033a7773d0bf85769ec,2026-07-27 12:03:57
unv,Gen,11,32,9389,90ca3a8a7357c83bc8a7d46856acc4911695303b,2026-07-27 12:03:59
unv,Gen,12,20,7028,dc7980dd37f700d795685f2a4e9467cf3edd06e3,2026-07-27 12:04:01
unv,Gen,13,18,6055,7db66e5d5fc6280d365d913fa1c6a2277a91c6a3,2026-07-27 12:04:03
unv,Gen,14,24,8236,0498ea20ead11fd5e0953311217ae32cdbc083e7,2026-07-27 12:04:04
unv,Gen,15,21,6858,985766f81d1deabfa885003574cd8227a92852e5,2026-07-27 12:04:06
unv,Gen,16,16,5732,83450a50cc0804dcac887365776ba4a9e4b0dd32,2026-07-27 12:04:08
unv,Gen,17,27,9032,b94fa1f3a2b53c763a7ed10230cde31736df2789,2026-07-27 12:04:10
unv,Gen,18,33,11888,5589e8ab9af678681188fc1d1441ae98baf06ac6,2026-07-27 12:04:12
unv,Gen,19,38,14316,b996520f447debab0d5b473cc509330f8d6cf912,2026-07-27 12:04:14
unv,Gen,20,18,6984,2dbdda5664662cfb4c83f639b9b61742042774a3,2026-07-27 12:04:16
unv,Gen,21,34,11231,09dbbab8e44a53cc08cbf99f0eac1c8984cb9bad,2026-07-27 12:04:18
unv,Gen,22,24,8881,51003af6d38c9bb6a026075e30128f11220445f8,2026-07-27 12:04:19
unv,Gen,23,20,7047,400d1e3a5b1f5cf6f5be7741a015249614eeca9b,2026-07-27 12:04:21
unv,Gen,24,67,23869,e988313bdb0f4c15c04a28cd28e39196b9d48b1f,2026-07-27 12:04:23
unv,Gen,25,34,10401,bf5cf25ad0625c0ff188d7769ca1abaad1b38011,2026-07-27 12:04:25
unv,Gen,26,35,12267,a572e18da900b0772c6018bb504936c0ee36ebcc,2026-07-27 12:04:27
unv,Gen,27,46,16498,be33113f6bb5496dfaaefb0753c5cdf3df121e7a,2026-07-27 12:04:29
unv,Gen,28,22,7989,ead588597f99375ce1920e7b7469357add7bc057,2026-07-27 12:04:30
unv,Gen,29,35,11811,2552f62e473e35cbbe0dede46b49e4fb7a0b03ec,2026-07-27 12:04:32
unv,Gen,30,43,14842,000bee6bc9d2d6254aaa130be03c43607897cc3a,2026-07-27 12:04:34
unv,Gen,31,55,19622,edb166b15dbc3dfc9f9263935b3049eeb8d7dd58,2026-07-27 12:04:36
unv,Gen,32,32,11365,9a1b04dd5ab77c4cf7e15f26bc68ab65a458e3d3,2026-07-27 12:04:38
unv,Gen,33,20,6953,7ec9fd79b1edebf0aeb814eb3dec0bd38d761230,2026-07-27 12:04:40
unv,Gen,34,31,11049,4f73d29504145332a7bbe4cc56a9783d3a5f5828,2026-07-27 12:04:42
unv,Gen,35,29,9559,2e32a5511c4abfb26bf5ec17a82a30c64ca0b94c,2026-07-27 12:04:43
unv,Gen,36,43,12117,bdfc3be66f90d3d46d264842763706241aa29bb5,2026-07-27 12:04:45
unv,Gen,37,36,12722,c0d627e465a88c2233df59310ff44c6a69e61c5b,2026-07-27 12:04:47
unv,Gen,38,30,10912,e82607467fb1ccc7f101d99e43067a38609de283,2026-07-27 12:04:49
unv,Gen,39,23,8819,c6336b78164878f215f02f3c39aebb7e25a4d588,2026-07-27 12:04:51
unv,Gen,40,23,7611,e66a4c10dd7a3128566ab8f0fa51c95867aec04d,2026-07-27 12:04:53
unv,Gen,41,57,18683,257a57d479b2b1fa76974915ad6e6536b31da6f6,2026-07-27 12:04:54
unv,Gen,42,38,13878,99cb55277665bad930bebdcafa36a2c35468ba08,2026-07-27 12:04:56
unv,Gen,43,34,12801,9da8c010d787f4f67cb4c84aa23e1da807b19db6,2026-07-27 12:04:58
unv,Gen,44,34,11915,169597c7b62c06637b42321b8d7d8c630016be8f,2026-07-27 12:05:00
unv,Gen,45,28,10255,1f9c28736e03d75cbb56c58ae1b49c66c19cb9eb,2026-07-27 12:05:02
unv,Gen,46,34,10401,b7aec943b693eca9126bc658fe8fd6f2c5bf7425,2026-07-27 12:05:04
unv,Gen,47,31,12729,03fbb507df653a9ffef9b5b69560888436875e1c,2026-07-27 12:05:06
unv,Gen,48,22,8913,9f810675496c74a68805b1c7e0680bff1005d86f,2026-07-27 12:05:07
unv,Gen,49,33,10190,235b6edcc97e03fb5a79210ffcfc7883d88d2464,2026-07-27 12:05:09
unv,Gen,50,26,9585,4c0c4aca9db485ee7dfbc07707aec4a7307a3af6,2026-07-27 12:05:11
unv,Ex,1,22,6685,46bf4cb591cd3bd74bc7462aad48cc05419dd2df,2026-07-27 12:05:13
unv,Ex,2,25,8898,bc8f2be83522d724ed57acd705f43ffb75738e4e,2026-07-27 12:05:15
unv,Ex,3,22,9684,b23f4fc3574baa30c99343c6fddf1bb61afaf682,2026-07-27 12:05:16
unv,Ex,4,31,11541,78258de205859b41e6cce639bd0978244a474845,2026-07-27 12:05:18
unv,Ex,5,23,8657,8281d47b7ad4611c6d9d901b3b475520d6a4161b,2026-07-27 12:05:20
unv,Ex,6,30,9866,87248dbe8b5dc0f82f1820cd420d51a957168539,2026-07-27 12:05:21
unv,Ex,7,25,9175,5ac4db1b30b386955112023a7bd20a035448e5d2,2026-07-27 12:05:23
unv,Ex,8,32,12252,b8462674a2c56ba103a6c0246216aee0b0b3d5c3,2026-07-27 12:05:24
unv,Ex,9,35,12661,ed08381a0d3c3c15a5072ffdbdb2f2519c8c8d34,2026-07-27 12:05:26
unv,Ex,10,29,11848,26781556d0b4a31b661dee28aeae9eef8a68c2fc,2026-07-27 12:05:28
unv,Ex,11,10,4203,5820b91af0756fe05efbd8888f8a5639666e4fcf,2026-07-27 12:05:29
unv,Ex,12,51,18477,ede37666f66b97c2657e26f25a731666784b6538,2026-07-27 12:05:31
unv,Ex,13,22,8439,45495b2c822658564593518be5c7f55270819fba,2026-07-27 12:05:32
unv,Ex,14,31,11699,5980e8d976e5c843230d217415c16a666d62b737,2026-07-27 12:05:34
unv,Ex,15,27,9062,b646f1e252eff501b73a38ca28dfd5f1550e68cd,2026-07-27 12:05:36
unv,Ex,16,36,13699,e4f464d34c0a38cc2ac8f882245cfb683eb298d3,2026-07-27 12:05:37
unv,Ex,17,16,6519,7521617709f990460b06091087e1feadc4397abc,2026-07-27 12:05:39
unv,Ex,18,27,10212,be438c7ec5502191ae668ec26e19d998aac9af07,2026-07-27 12:05:40
unv,Ex,19,25,9381,391ebaed30f529afc5bd1e3c0f7822e110ad22c1,2026-07-27 12:05:42
unv,Ex,20,26,7906,7a2673551f6d44fcc7bf8f7852746c7277d5e7b7,2026-07-27 12:05:44
unv,Ex,21,36,11319,c852701242b2dba6eec2fa9dfc9d86afebfe3734,2026-07-27 12:05:45
unv,Ex,22,31,10238,0fc28b422bdc44f785ab9020d49f5ba7af282739,2026-07-27 12:05:47
unv,Ex,23,33,10877,035512e37a993ddc4622f79fafcb0bd806e32f73,2026-07-27 12:05:49
unv,Ex,24,18,6225,ac56ebd76307d2bb689d082d73f2e22159bb4d3f,2026-07-27 12:05:50
unv,Ex,25,40,10875,12b18b5b212faa75b0bccb3bb31a16957e4bb3be,2026-07-27 12:05:52
unv,Ex,26,37,11342,58fa018b41682962807f5d7545f5b7156a7575c7,2026-07-27 12:05:54
